epoch,train_loss,val_loss
1,0.0019855946555233164,0.011888935164149319
2,0.0007881128001950182,0.011460055530603443
3,0.0006908421308519649,0.011372510543359178
4,0.0006349235975313262,0.011185535030173404
5,0.0005979895282896998,0.011241097069744552
6,0.0005699386560020709,0.011149508013789142
7,0.0005455748790573376,0.011099230897213732
8,0.0005293080788890747,0.01090795746339219
9,0.0005193192839229376,0.010912751845483269
10,0.0005133901556380654,0.010965186237756695
11,0.0005567844211736077,0.011778703025941337
12,0.0005330025120662772,0.012975973077118397
13,0.000520773522830394,0.011417540788118328
14,0.0005126709587538682,0.011251051843698536
15,0.0005004588374068301,0.011886640385325466
16,0.0004930622622039972,0.011274424181985003
17,0.0004876068678742396,0.011098385988069432
18,0.00048252743978830095,0.011160957427429301
19,0.0004784710875278778,0.010942415400807346
20,0.0004724995602386521,0.011173077659415347
21,0.00046877796249106805,0.010734973541860069
22,0.0004636429544995436,0.010627278060253178
23,0.00045868451188479947,0.011051383601235492
24,0.00045389428958208107,0.010635443763541324
25,0.00045111725636532725,0.010655886493623257
26,0.0004475403283939401,0.01057250757834741
27,0.000444327382676888,0.010580460474427258
28,0.00044268824150916895,0.010589042345860175
29,0.0004400109186533408,0.010533565522304602
30,0.0004392233836844749,0.010532651761812823
31,0.00047950333755723097,0.011109501788658755
32,0.00047596065541628433,0.01097083224781922
33,0.00047179119970375223,0.010916575789451599
34,0.00047232633470556867,0.011472708079963923
35,0.00046993436925333345,0.01090377609112433
36,0.0004662881497625758,0.01087261876091361
37,0.0004631424854896386,0.010839739149170262
38,0.0004620071075968782,0.010964399802365474
39,0.00045912025199315386,0.010776825182672058
40,0.000455821785530234,0.010832696620907103
41,0.00045322592750147967,0.010644079651683569
42,0.0004512228815327826,0.010806163639894553
43,0.00044890922147948665,0.010594955113317286
44,0.0004474212336708631,0.01067890559456178
45,0.0004456800781216193,0.010659235463078533
