epoch,train_loss,val_loss
1,0.27035930327006746,0.19637051224708557
2,0.07776743599346705,0.10738024488091469
3,0.0353421787066119,0.06214146129786968
4,0.024906625439013754,0.03692122548818588
5,0.022515916398593357,0.02114400453865528
6,0.02093848479645593,0.016331353224813938
7,0.020595854946545193,0.015221262816339731
8,0.01959092276436942,0.014559604227542877
9,0.019901475736073086,0.014242480043321848
10,0.0193376432039908,0.01418783888220787
11,0.018888176817979132,0.013934754766523838
12,0.019150403727378165,0.01395689882338047
13,0.018224181873457774,0.014243295881897211
14,0.017639936081000736,0.013674477115273476
15,0.017178572182144438,0.013752554543316364
16,0.016709745728543828,0.01356759900227189
17,0.01609588148338454,0.013674587942659855
18,0.01594216629330601,0.013287440873682499
19,0.015557043786559786,0.013225131202489138
20,0.015493261361760753,0.013491551391780376
21,0.015575761906802654,0.013366928324103355
22,0.01555941825998681,0.013311806600540876
23,0.015506304667464324,0.013252987060695887
24,0.015167415009013243,0.013307621236890554
25,0.014994392703686441,0.013291515875607729
26,0.015310315548309259,0.013276222627609968
27,0.01500838076961892,0.013237502425909042
28,0.015238894814891475,0.013257085345685482
29,0.016024185477622917,0.013304033782333136
30,0.015111886763146945,0.013222680892795324
31,0.015078595174210412,0.013282697182148695
32,0.014934486842581205,0.013227175455540419
33,0.014530988410115242,0.01328874472528696
34,0.014793188710297858,0.01321720564737916
35,0.01424413307436875,0.013278905767947435
36,0.015260488194014345,0.01347110141068697
37,0.014230244792997837,0.01342951599508524
38,0.014639525009053094,0.013317609205842018
39,0.014501240237482957,0.013483157847076654
40,0.014415471814572811,0.013276161160320044
41,0.013804041115300996,0.013362664263695478
42,0.01402372760432107,0.013314373791217804
43,0.013930947386792727,0.013085839338600636
44,0.014111744106880255,0.013275300152599812
45,0.014548419442559992,0.013387179467827082
46,0.013982257406626428,0.013409131206572056
47,0.013854101433285646,0.012895303778350353
48,0.014059679050530707,0.013036451768130064
49,0.013928927348128386,0.013131270185112953
50,0.013620134043906416,0.012976868078112602
51,0.013594022153743677,0.013088128063827753
52,0.013588708559317248,0.013109304010868073
53,0.013604072188692433,0.012823911383748055
54,0.013626551388629846,0.012789090164005756
55,0.013488934375345707,0.012796448078006506
56,0.013575700643871511,0.012823973316699266
57,0.01343513825642211,0.013001688290387392
58,0.013474168788109506,0.012960524298250675
59,0.013770990605865206,0.01293088961392641
60,0.013512907416692801,0.01293916441500187
61,0.013561462451304709,0.012972946278750896
62,0.013547294507069247,0.013001968152821064
63,0.013482798955270223,0.012974042445421219
64,0.013495797956628459,0.012969650328159332
65,0.013412090816668101,0.012988281436264515
66,0.013301826348262174,0.012995010241866112
67,0.013632611105484622,0.01297984179109335
68,0.013272238363112723,0.012971821706742048
69,0.013704189232417516,0.013006998226046562
