epoch,train_loss,val_loss
1,0.001949897341979529,0.00021164579836154769
2,0.0003109590783731448,0.00013082400253743153
3,0.00020854593372116452,0.0019595688149037145
4,0.00015750636509739757,7.778723358663145e-05
5,0.00011938868647295693,0.00017860487929828697
6,0.00010213594647916972,2.7305853200842778e-05
7,8.345432564050717e-05,6.218660779487991e-05
8,7.366880350802635e-05,2.2865162244115036e-05
9,6.542074272196026e-05,2.9826850287835803e-05
10,6.0580678064157807e-05,2.5381438650742435e-05
11,0.00010163803939936218,2.5815574096751992e-05
12,8.74717939224443e-05,3.946345991333134e-05
13,7.494211559663857e-05,7.332985253129009e-05
14,6.90909890778521e-05,2.5967692835583305e-05
15,6.373737473138576e-05,9.125860424421132e-05
16,5.8333354093741726e-05,4.9365067797422853e-05
17,5.576464804065777e-05,8.016931317510683e-05
18,4.935062620225729e-05,0.0005185585450125812
19,4.8302782378485693e-05,3.3970124944609585e-05
20,4.4160986681425044e-05,6.665430553958041e-05
21,4.2020237460764465e-05,3.41270121865436e-05
22,3.911118840902582e-05,0.0001044251237044286
23,3.642481637241404e-05,1.4893792213440921e-05
24,3.382390341863922e-05,1.8550966736356366e-05
25,3.230754339059848e-05,1.622311942373031e-05
26,3.043756631317009e-05,1.929631732779652e-05
27,2.9251912544138915e-05,1.3923999052653631e-05
28,2.8121660204084253e-05,2.2804645772913202e-05
29,2.7193870193301188e-05,2.2655442113131524e-05
30,2.6738847104918333e-05,2.6135108616067383e-05
31,4.880227549398331e-05,6.397624456928418e-05
32,4.1936533123139086e-05,7.495855191090692e-05
33,4.1014560374885245e-05,0.00010669316333521707
34,3.946076369276238e-05,4.374498345776382e-05
35,3.869411230512023e-05,3.993227084386589e-05
36,3.671793807971216e-05,3.161150083790681e-05
37,3.571439795550218e-05,5.726157834262991e-05
38,3.5602168048864763e-05,5.4839470691877884e-05
39,3.3332883582599935e-05,1.751296111686995e-05
40,3.2377881492085493e-05,7.166448186953308e-05
41,3.1441533426813e-05,3.0489190951952298e-05
42,3.083445215316067e-05,5.495912452290612e-05
